Fecha,Alimentacion Fresca SAG16,MA2:3WI116R,TPD SAG 16,Tasa Desgaste SAG16,Consumo acero SAG16,Reposicion SAG16,Variacion de nivel SAG16,Nivel bolas estimada SAG16,Alimentacion Fresca SAG17,MA2:3WI216R,TPD SAG 17,Tasa Desgaste SAG17,Consumo acero SAG17,Reposicion SAG17,Variacion de nivel SAG17,Nivel bolas estimada SAG17
2021-03-29,64412.90394630745,1344.0672222222222,65756.97116852968,275,18083.167071345662,12500.0,-0.29385089849187696,14.97234740517322,44070.12840758831,339.10490801493324,44409.23331560324,328,14566.228527517862,12500.0,-0.10874886986936116,12.003629055328666
2021-03-30,72025.09360683405,1697.2705555555556,73722.36416238961,275,20273.650144657142,12500.0,-0.4091394812977443,14.587773681916412,45970.14467758976,550.73861231486,46520.88328990462,328,15258.849719088714,12500.0,-0.1452026167941428,11.767933926157644
2021-03-31,68425.19434640613,1260.0797222222222,69685.27406862835,275,19163.450368872796,12500.0,-0.3507079141511998,14.255303763744744,47019.18437825389,1196.0169982910156,48215.20137654491,328,15814.58605150673,12500.0,-0.17445189744772266,11.51412905899621
2021-04-01,67893.13768602985,514.1994444444446,68407.33713047429,275,18812.017710880427,12500.0,-0.3322114584673909,13.93053466565747,47772.4534452049,326.441987347073,48098.89543255197,328,15776.437701877046,12500.0,-0.17244408957247612,11.247320388994778
2021-04-02,65386.28777452112,257.49833333333333,65643.78610785445,275,18052.041179659973,12500.0,-0.29221269366631436,13.64204892155256,43362.831949877145,85.42203028361003,43448.253980160756,328,14251.02730549273,12500.0,-0.09215933186803837,11.056635711123215
2021-04-03,59598.960987829865,4346.0725,63945.03348782987,275,17584.884209153213,25000.0,0.3902692521498309,14.095221854623444,43205.76724161119,5192.760145956675,48398.52738756786,328,15874.71698312226,25000.0,0.480278053519881,11.526557202952244
2021-04-04,69805.27823872626,417.6777777777778,70222.95601650403,275,19311.31290453861,12500.0,-0.3584901528704531,13.7427770380103,30849.28702796191,350.6577662404378,31199.944794202347,328,10233.58189249837,37500.0,1.435074637236928,12.967685300574797
2021-04-05,68318.85934028827,45.84305555555556,68364.70239584382,275,18800.29315885705,12500.0,-0.33159437678195003,13.411846179137706,0.0,0.0,0.0,328,0.0,0.0,0.0,12.967685300574797
2021-04-06,64847.473038429016,875.247222222222,65722.72026065124,275,18073.748071679092,12500.0,-0.2933551616673206,13.13115906937097,0.0,0.0,0.0,328,0.0,0.0,0.0,12.967685300574797
2021-04-07,50799.50828868688,178.0027777777778,50977.511066464656,275,14018.81554327778,12500.0,-0.07993766017251476,13.053797765192607,0.0,0.0,0.0,328,0.0,0.0,0.0,12.967685300574797
2021-04-08,54914.85973954995,785.1388888888889,55699.99862843884,275,15317.499622820684,25000.0,0.5096052830094377,13.574766900541226,0.0,0.0,0.0,328,0.0,0.0,0.0,12.2
2021-04-09,63051.16907099698,248.91194444444443,63300.08101544142,275,17407.52227924639,25000.0,0.3996040905659795,13.977973663987322,30513.28168459529,431.8488683923087,30945.1305529876,328,10150.002821379934,12500.0,0.12368406203263504,12.325637052631578
2021-04-10,63127.38594761971,141.9636111111111,63269.34955873082,275,17399.071128650976,12500.0,-0.2578458488763672,13.722182551587563,35221.24048128069,300.54568751017257,35521.786168790866,328,11651.145863363405,25000.0,0.7025712703492945,13.033396690638943
2021-04-11,63178.686696157936,10.395833333333334,63189.08252949127,275,17376.997695610098,12500.0,-0.25668408924263675,13.465648928353698,41584.17739397567,104.7212746922175,41688.89866866788,328,13673.958763323066,12500.0,-0.061787303332792934,12.9734172072061
2021-04-12,39663.46945698433,2450.4375,42113.90695698433,275,11581.32441317069,25000.0,0.7062460835173321,14.20736187042366,36762.65092600469,6587.278631247415,43349.9295572521,328,14218.77689477869,12500.0,-0.09046194183045736,12.996672496483493
2021-04-13,35243.07779257778,2978.666111111112,38221.74390368889,275,10510.979573514445,12500.0,0.10468528560450288,14.355159428688982,35776.52453049041,7861.369193305969,43637.89372379638,328,14313.229141405212,12500.0,-0.09543311270553749,13.036951441430816
2021-04-14,44778.87915051635,4064.6455555555553,48843.52470607191,275,13431.969294169776,12500.0,-0.04905101548261978,14.364938809405192,27758.810231217365,5532.645316672855,33291.45554789022,328,10919.59741970799,0.0,-0.5747156536688416,12.557746717439274
2021-04-15,49171.94438758736,558.8633333333333,49730.8077209207,275,13675.97212325319,25000.0,0.5960014671972005,14.969029088005902,27165.271253779792,402.7986938815647,27568.069947661355,328,9042.326942832924,12500.0,0.1819827924824777,12.746683087374024
2021-04-16,56363.98703311341,1942.283888888889,58306.270922002295,275,16034.224503550631,12500.0,-0.186011815976349,14.811129275684523,38048.64694075284,455.36184522363874,38504.00878597648,328,12629.314881800286,0.0,-0.6647007832526467,12.08984328755471
2021-04-17,55967.571896897,682.2861111111112,56649.858008008116,275,15578.710952202233,25000.0,0.4958573183051456,15.31686178770312,40364.10983419443,104.3402490870158,40468.450083281445,328,13273.651627316314,25000.0,0.6171762301412467,12.708820759890722
2021-04-18,57550.42888915889,327.2219444444444,57877.65083360333,275,15916.353979240916,12500.0,-0.1798081041705745,15.14178979062319,38992.85183959872,8.13122304280599,39000.98306264153,328,12792.322444546422,12500.0,-0.015385391818232739,12.693575738659757
2021-04-19,15374.863287644936,0.0,15374.863287644936,275,4228.087404102357,0.0,-0.2225309160053872,14.9192588746178,48197.73359010804,8.262447357177733,48205.996037465215,328,15811.56670028859,12500.0,-0.17429298422571524,12.519425390367363
2021-04-20,62342.07293066045,5.463333333333335,62347.53626399378,275,17145.572472598287,12500.0,-0.24450381434727828,14.674834134831926,52983.09513598737,82.23215396457249,53065.32728995194,328,17405.427351104237,37500.0,1.0576090867839876,13.578454063809266
2021-04-21,45535.111481306245,2023.6866666666665,47558.79814797291,275,13078.66949069255,12500.0,-0.030456288983818393,14.673668047602494,40175.2811091277,1477.0544006178116,41652.33550974551,328,13661.966047196527,12500.0,-0.06115610774718564,13.54279657939906
2021-04-22,59665.9152526555,3245.927777777777,62911.84303043327,275,17300.756833369152,12500.0,-0.25267141228258694,14.467977168945636,47047.450093344974,124.12846489800349,47171.578558242974,328,15472.277767103697,12500.0,-0.15643567195282615,13.388503756735
2021-04-23,64530.78357678672,345.1566666666667,64875.94024345339,275,17840.883566949684,12500.0,-0.2810991351026149,14.191873722439514,41083.54142730002,203.27794421090024,41286.81937151092,328,13542.076753855583,12500.0,-0.05484614493976752,15.0
